" 1","1","120034.15"
" 1","2","148879.63"
" 1","3","156894.97"
" 1","4","126649.04"
" 1","5","136189.21"
" 1","6","213720.59"
" 1","7","175676.32"
" 1","8","189947.21"
" 1","9","221965.55"
" 2","5","22.14"
" 2","6","349.96"
" 2","7","253.7"
" 2","8","250.32"
" 7","2","1042.5"
" 7","4","608.24"
" 7","5","385.14"
" 7","6","1365.32"
" 8","1","682.8"
" 8","2","3475.83"
" 8","3","6660.73"
" 8","4","7406.44"
" 8","5","13204.44"
" 8","6","6400.77"
" 8","7","3008.26"
" 8","8","2165.08"
" 8","9","1805.46"
" 9","1","-26996.02"
" 9","2","10826.28"
" 9","3","22576.35"
" 9","4","8840.5"
" 9","5","13578.47"
" 9","6","16020.27"
" 9","7","9177.78"
" 9","8","7423.94"
" 9","9","27337.15"
"0 ","12","377488.45"
"1 ","1","466279.33"
"1 ","10","314090.17"
"1 ","11","429039.49"
"1 ","12","433668.01"
"1 ","2","333838.41"
"1 ","3","497135.03"
"1 ","4","349702.9"
"1 ","5","559954.11"
"1 ","6","453266.21"
"1 ","7","493184.05"
"1 ","8","482893.96"
"1 ","9","768579.46"
"10","12","371468.57"
"11","10","756614.5"
"11","11","1032716.76"
"eD","","0"
